WT_P62	Y2_P37_28	YT2_P37_7_17	gene_id
-4.3930027456689	-3.72065558076582	-4.92761220364485	ENSG00000302843
-0.848682229445093	-0.299191812327542	0.782046044525623	LINC03126
1.52188064069315	1.37285630515733	1.00312513391804	ENSG00000238142
-4.3930027456689	-2.44054766157308	-4.19064660947864	ENSG00000290122
6.68225354214556	6.08738924090207	6.35644071118609	MFAP2
-3.6560371515027	-4.20608240793606	-3.7052197823084	ENSG00000286898
6.87865480728679	6.57511335365469	6.32051303405601	ATP13A2
5.15453448323845	5.57822525879233	5.28143494065497	SDHB
3.51988659056106	4.06911092596615	4.16602543473346	PADI2
1.20194384362487	-0.188160499938798	-0.731214990841344	PADI1
4.44515066375704	1.40862743617915	1.5263442849263	PADI3
-0.486112150060385	-3.06857888418613	-1.98901274830899	PADI4
-3.17061032433246	-2.82757078468233	-3.34264970292369	RCC2-AS1
8.56379688848018	9.31583695972264	9.46074149187807	RCC2
-2.80804024494775	-2.82757078468233	-1.65459370923843	ENSG00000290096
5.61962179319616	5.82486055185457	6.14764408416961	ARHGEF10L
-0.620413241771976	-0.0202158626247264	1.54812122732155	ACTL8
4.53871970291955	3.80849605698683	2.44452733719628	IGSF21
-0.933571127031606	-2.44054766157308	-3.34264970292369	ENSG00000225387
-4.3930027456689	-2.28008298937984	-2.60568410875749	ENSG00000294535
5.61028090565476	2.42327421214355	1.68218215005624	KLHDC7A
0.464978249458669	-0.505642689794968	-2.26464719092242	PAX7
6.1771692084677	5.70291058531447	5.34346169545315	ALDH4A1
3.97186146436905	3.92216974434133	3.50004983449906	IFFO2
-0.76851188076111	-1.48361638346497	-0.490206891337549	ENSG00000272084
7.99043155615387	8.11905436678931	8.34885150531789	UBR4
-0.551700491687962	0.0418451055075253	-0.0368412733996057	EMC1-AS1
6.5686881012649	6.62316463498515	6.66313077115992	EMC1
6.01249331868365	5.92036395683937	6.17720492501127	MRTO4
-0.363255402274852	-1.31855713719447	-0.362827584861321	AKR7L
-1.89050240513972	-1.39872748587846	-1.30312133873705	AKR7A3
4.91761003599063	5.17372913585093	4.66546762449882	AKR7A2
-3.17061032433246	-4.20608240793606	-3.7052197823084	RNU6-1099P
3.94833074839105	3.94873570111604	4.23477912511206	SLC66A1
8.48037727982246	8.5708851616026	8.61715103608887	CAPZB
2.32124277199722	2.62427433948316	2.68464198874405	MICOS10
2.8001118831453	2.64940903516581	1.10947711509037	NBL1
0.591890361940888	0.414504002515817	-0.840149362394508	ENSG00000226396
2.09349711616656	2.65934157037707	2.52908444727121	HTR6
2.31205360054256	2.16895702341086	1.5263442849263	TMCO4
4.57374301523063	4.87659889501429	4.48672068265741	OTUD3
5.38123523874357	3.88031923794397	3.65107497164982	PLA2G2A
-3.17061032433246	-4.20608240793606	-3.7052197823084	PLA2G5
-4.3930027456689	-2.00444854676641	-1.98901274830899	PLA2G2C
1.26043949293502	2.18966592024297	2.89043731920899	UBXN10
0.288821294304842	2.32061243760592	3.26056450235369	VWA5B1
2.64042025586855	3.38936157665342	2.56691007946081	CAMK2N1
-2.27752552824897	-1.77312300065995	-4.19064660947864	ENSG00000289402
4.98709751035457	5.53639545906762	5.6247366863349	MUL1
-0.000685322890143246	2.2631523857316	2.96113104525341	FAM43B
3.2241585774404	3.6102612973488	2.66981964903853	CDA
5.11413116860073	6.01574635055247	5.27083283780751	PINK1
2.08273068529749	3.01695392996581	3.00902573535772	PINK1-AS
8.19953215516294	8.36666518136672	8.19105855466726	DDOST
4.22293335864839	3.32217633482235	2.68464198874405	KIF17
-2.51853362775276	-4.94304800210227	-3.7052197823084	ENSG00000235432
4.41970938655821	4.4019875597856	4.84662578076763	SH2D5
-4.3930027456689	-4.94304800210227	-4.92761220364485	ENSG00000233069
6.86575955990909	7.2158772017047	7.58833397546467	HP1BP3
7.09600891827669	7.5004999447675	7.78139978836829	EIF4G3
6.68136175102405	6.69251897946788	6.73104558848124	ECE1
-1.5856478236113	-0.695120488658681	-2.26464719092242	ECE1-AS1
-2.27752552824897	-2.00444854676641	-3.7052197823084	ENSG00000296859
0.65139137368955	0.651898587191512	0.38224305894194	NBPF2P
1.14097582633345	0.590930569900085	1.20852448434118	HS6ST1P1
4.55633763606457	4.78770515519878	4.62505689386943	NBPF3
8.44258715730336	7.72723941279689	7.70712323159769	ALPL
4.83981787538447	4.5993390382357	4.13218288815025	RAP1GAP
6.80687404826309	6.87059960005584	6.85524953504504	USP48
0.621947595797068	0.366807260484521	1.44742722770208	LDLRAD2
7.65763952135473	6.62759834071868	6.80526183663858	HSPG2
-2.07107465078154	-2.00444854676641	-3.05314308572871	LINC01635
2.59568194110326	2.73173276086736	2.42700450994869	LINC00339
0.288821294304842	0.570021580137104	-0.404050247587834	CDC42
3.55925315414854	0.1862350148427	-0.0696312085172751	WNT4
-1.5856478236113	-4.20608240793606	-4.92761220364485	ENSG00000285873
-2.80804024494775	-4.94304800210227	-4.19064660947864	ENSG00000294752
4.25205518931557	4.24595286561014	5.27899520776088	ZBTB40
-4.3930027456689	-3.35808550138111	-3.05314308572871	ZBTB40-IT1
3.51988659056106	2.77348569215913	3.01294610472907	EPHA8
6.49497938738955	5.68600498858742	6.12608746149365	EPHB2
-2.80804024494775	-2.6211199072149	-4.92761220364485	TEX46
8.94717190128319	8.94699455817063	8.90833949547987	KDM1A
6.98655612750718	6.18559081075033	6.54795236268264	LUZP1
-4.3930027456689	-4.94304800210227	-3.34264970292369	ENSG00000289014
3.94833074839105	1.63689642385227	1.83172120354981	HTR1D
-2.80804024494775	-2.44054766157308	-3.05314308572871	RPL29P6
0.987819038272028	0.590930569900085	0.564240892684827	LINC01355
8.19094187025621	8.0627519614077	8.43875554949843	HNRNPR
2.15646107383087	1.95982953099963	1.7681960657646	ZNF436
-1.11998425126249	-0.22422975464632	-1.75768720220254	ZNF436-AS1
-2.27752552824897	-3.06857888418613	-3.7052197823084	TCEA3
5.95609414851074	6.23166966438754	6.24377312115058	ASAP3
3.70327316538775	4.08393643899656	3.99818946355189	E2F2
-1.33410905661534	-1.77312300065995	-1.98901274830899	ENSG00000235052
6.73949698395961	5.92551736485836	6.12608746149365	ID3
9.9958890430267	9.74394486579548	9.44545684304155	RPL11
1.62936506735955	1.31119328527352	1.2883251955543	ELOA-AS1
6.47813243857414	6.40991498203961	6.79959920532444	ELOA
5.82414717219601	5.9418856458475	5.81806212035729	PITHD1
6.39081401365128	6.64644710146814	6.78849273385251	LYPLA2
4.45353235786799	4.39010734820835	4.58611539230759	GALE
5.16733008854354	4.79448103477405	4.11039224042451	HMGCL
3.68203064603992	3.99653121221243	3.38678221855711	FUCA1
6.87826573095193	7.12561833058409	7.18797338523361	PNRC2
7.69302287292289	7.53141846203037	7.94397222837363	SRSF10
-1.45440329033305	-1.17045849820534	-1.08630994966391	MYOM3
-0.145075232225318	-1.10174574812132	-1.15502269974792	IL22RA1
2.94387569068443	2.90034966988087	3.26056450235369	IFNLR1
1.55341621412625	0.802906375291194	0.332915346578372	GRHL3
4.41542521105393	4.61090121531932	3.86355068491017	STPG1
3.84380873558051	4.01984800323499	3.7483448292969	NIPAL3
-1.45440329033305	-1.24260828396117	-3.05314308572871	NCMAP-DT
5.04648187765059	5.15366715238627	4.65672399142684	RCAN3
-1.45440329033305	-1.10174574812132	-4.19064660947864	NCMAP
7.5442484537216	7.56779856550956	7.77362204954773	SRRM1
9.29666770029432	9.32805022062129	8.97209087420134	CLIC4
0.497768184576338	0.671661842012942	0.201670813300119	RUNX3
4.95793643587753	5.05648229415245	5.07941506324912	SYF2
-0.423376394712422	0.390852734451172	-0.629931655004162	ENSG00000284657
-4.3930027456689	-4.20608240793606	-4.92761220364485	ENSG00000299599
4.0007452127163	4.51022263190836	4.61348441170468	RSRP1
-2.07107465078154	-2.44054766157308	-2.60568410875749	ENSG00000272432
-1.73003773294647	-2.13569308004466	-1.98901274830899	ENSG00000261349
-4.3930027456689	-4.20608240793606	-0.784654249802804	RHD
-2.80804024494775	-3.06857888418613	-4.19064660947864	ENSG00000309241
-3.6560371515027	-4.94304800210227	-3.05314308572871	SDHDP6
-3.6560371515027	-4.20608240793606	-4.19064660947864	ENSG00000259984
6.71356019477598	6.72628000229364	6.87315290905241	TMEM50A
-1.33410905661534	-0.855585160851927	-1.86871851459128	RHCE
0.763501740011087	1.40862743617915	1.43579252721867	ENSG00000238084
4.87300290459238	5.07700594508794	5.28872948168302	MACO1
4.70415151856002	4.72878788325597	4.57289775481528	LDLRAP1
4.59473498009723	4.12034707918624	3.94377971074228	MAN1C1
7.58415790247723	7.72886157850492	7.75677116827717	SELENON
-2.51853362775276	-2.00444854676641	-2.60568410875749	ENSG00000228172
4.85571550226468	4.98423614000576	5.18743144651686	MTFR1L
4.82535867265143	4.76488625258575	4.19392131369519	AUNIP
-1.89050240513972	-3.06857888418613	-4.19064660947864	ENSG00000236528
3.21432756808071	3.1567381175982	3.22044061731996	PAQR7
9.02577225066301	8.9824137166015	9.08573955139042	STMN1
4.2253827565897	4.25252926464854	3.95197104596794	PAFAH2
-1.89050240513972	-1.39872748587846	-3.7052197823084	ENSG00000310101
1.75674437383578	1.51090848646888	0.201670813300119	EXTL1
-3.6560371515027	-3.06857888418613	-4.92761220364485	ENSG00000310112
2.30280552374054	2.68873535537188	2.63971013794058	PDIK1L
-0.76851188076111	-0.0850670069746943	0.201670813300119	FAM110D
3.67487972661192	3.60769878328098	3.59725594991279	ZNF593
4.25924471436496	2.30803985223465	1.35161144028828	CNKSR1
0.464978249458669	-3.06857888418613	-2.42511186311566	CATSPER4
1.42291418989212	0.971835384259782	-0.283756013870123	ZPLD2P
-2.51853362775276	-1.67002950769585	-2.42511186311566	ENSG00000306815
6.01956710113631	6.04540000268415	6.04895191977048	CEP85
6.3481833148155	6.16700023682982	6.37939881465955	SH3BGRL3
3.86281267720499	3.94468033641936	3.82393185544425	UBXN11
1.82293465353025	0.820717651407655	0.763549700908234	CD52
4.76097143528608	3.8437661415145	3.12586120962447	CRYBG2
