"","logFC","gene_id","direction"
"CIMAP1B",-2.97325668715791,"CIMAP1B","down"
"ENSG00000302441",2.96440354077315,"ENSG00000302441","up"
"PCDHA11",2.95757515575463,"PCDHA11","up"
"ENSG00000288891",2.95494893958438,"ENSG00000288891","up"
"CLEC4D",-2.95214370000471,"CLEC4D","down"
"LGALS7",-2.95214370000471,"LGALS7","down"
"ENSG00000306932",-2.95214370000471,"ENSG00000306932","down"
"SHISA2",-2.94146082568467,"SHISA2","down"
"FAM106A",-2.93961206819609,"FAM106A","down"
"PAPLN",-2.93608032696047,"PAPLN","down"
"TNFRSF18",-2.93470910666869,"TNFRSF18","down"
"CLEC18A",-2.93470910666869,"CLEC18A","down"
"PTK6",-2.93470910666869,"PTK6","down"
"KRTDAP",-2.92591215843153,"KRTDAP","down"
"DNAH17",-2.92130106368429,"DNAH17","down"
"NUAK2",-2.91009321216614,"NUAK2","down"
"ENSG00000296453",2.90938636220393,"ENSG00000296453","up"
"TRH",2.90938636220393,"TRH","up"
"SLC17A6",2.90938636220393,"SLC17A6","up"
"ENSG00000309145",2.90938636220393,"ENSG00000309145","up"
"CHRM2",2.90938636220393,"CHRM2","up"
"KCNE3",-2.89856756133244,"KCNE3","down"
"ESPNL",-2.8859802093146,"ESPNL","down"
"RIPOR2",-2.88305887818633,"RIPOR2","down"
"ATXN1-AS1",2.88199259537168,"ATXN1-AS1","up"
"CNTNAP5",-2.88140276424066,"CNTNAP5","down"
"EIF4E1B",-2.88056084715745,"EIF4E1B","down"
"LRRC15",-2.87197335132073,"LRRC15","down"
"RHBDL2",-2.87197335132073,"RHBDL2","down"
"ENSG00000227242",-2.87197335132073,"ENSG00000227242","down"
"LINC01914",-2.87197335132073,"LINC01914","down"
"MYO7B",-2.87197335132073,"MYO7B","down"
"LINC01124",-2.87197335132073,"LINC01124","down"
"ENSG00000243276",-2.87197335132073,"ENSG00000243276","down"
"ENSG00000241168",-2.87197335132073,"ENSG00000241168","down"
"CABS1",-2.87197335132073,"CABS1","down"
"MAB21L2",-2.87197335132073,"MAB21L2","down"
"ENSG00000285563",-2.87197335132073,"ENSG00000285563","down"
"ENSG00000287090",-2.87197335132073,"ENSG00000287090","down"
"ENSG00000234292",-2.87197335132073,"ENSG00000234292","down"
"ENSG00000279691",-2.87197335132073,"ENSG00000279691","down"
"ENSG00000309280",-2.87197335132073,"ENSG00000309280","down"
"ENSG00000298421",-2.87197335132073,"ENSG00000298421","down"
"ENSG00000249574",-2.87197335132073,"ENSG00000249574","down"
"ENSG00000295980",-2.87197335132073,"ENSG00000295980","down"
"ENSG00000286113",-2.87197335132073,"ENSG00000286113","down"
"ENSG00000294948",-2.87197335132073,"ENSG00000294948","down"
"EMX2",-2.87197335132073,"EMX2","down"
"LINC03068",-2.87197335132073,"LINC03068","down"
"ENSG00000294569",-2.87197335132073,"ENSG00000294569","down"
"MYBPC3",-2.87197335132073,"MYBPC3","down"
"NPAS4",-2.87197335132073,"NPAS4","down"
"CLEC2B",-2.87197335132073,"CLEC2B","down"
"SDR9C7",-2.87197335132073,"SDR9C7","down"
"LINC02409",-2.87197335132073,"LINC02409","down"
"PROX2",-2.87197335132073,"PROX2","down"
"MEG9",-2.87197335132073,"MEG9","down"
"CLEC19A",-2.87197335132073,"CLEC19A","down"
"ACSM1",-2.87197335132073,"ACSM1","down"
"OTOA",-2.87197335132073,"OTOA","down"
"TMEM88",-2.87197335132073,"TMEM88","down"
"LILRB5",-2.87197335132073,"LILRB5","down"
"ENSG00000297684",-2.87197335132073,"ENSG00000297684","down"
"GDF5-AS1",-2.87197335132073,"GDF5-AS1","down"
"PCDHGA9",2.86736314730823,"PCDHGA9","up"
"GUCY1B2",2.86088784451274,"GUCY1B2","up"
"ST8SIA4",2.85997416807886,"ST8SIA4","up"
"ENSG00000304560",2.85594710324247,"ENSG00000304560","up"
"ENSG00000296434",2.85594710324247,"ENSG00000296434","up"
"TRDN",-2.85323678873914,"TRDN","down"
"MSX2",-2.84666226279154,"MSX2","down"
"PROS1",2.84528510522164,"PROS1","up"
"CPT1A",2.84212248589282,"CPT1A","up"
"TMEM114",-2.84127655409781,"TMEM114","down"
"ENSG00000254339",2.84053502580934,"ENSG00000254339","up"
"FSTL5",2.8386518506667,"FSTL5","up"
"NEBL",-2.83812000298368,"NEBL","down"
"ENSG00000243081",2.83801562664587,"ENSG00000243081","up"
"NRGN",2.82594196540482,"NRGN","up"
"ENSG00000296925",2.81918855323236,"ENSG00000296925","up"
"ENSG00000229321",2.81918855323236,"ENSG00000229321","up"
"SPHKAP",2.81918855323236,"SPHKAP","up"
"ENSG00000260871",2.81918855323236,"ENSG00000260871","up"
"ENSG00000284612",2.81918855323236,"ENSG00000284612","up"
"ADGRA1-AS1",2.81918855323236,"ADGRA1-AS1","up"
"MAGEA4",2.81918855323236,"MAGEA4","up"
"MALL",-2.81853409235926,"MALL","down"
"ENSG00000259969",-2.81501746650865,"ENSG00000259969","down"
"CBR3",2.81344933117964,"CBR3","up"
"HPDL",-2.81264713489444,"HPDL","down"
"ENSG00000270574",-2.80991238318847,"ENSG00000270574","down"
"NPIPB6",-2.80991238318847,"NPIPB6","down"
"NEFL",2.80895730249798,"NEFL","up"
"ENSG00000293739",2.80851176044472,"ENSG00000293739","up"
"TMC1",-2.80638500969315,"TMC1","down"
"SOHLH2",-2.80638500969315,"SOHLH2","down"
"SOX10",-2.80638500969315,"SOX10","down"
"TYW3",2.80419803635401,"TYW3","up"
"TNNC1",-2.80243241806765,"TNNC1","down"
"SLC44A4",-2.80121405418999,"SLC44A4","down"
"ENSG00000293025",2.80045199065077,"ENSG00000293025","up"
"DMBX1",-2.80027188596654,"DMBX1","down"
"BNC1",-2.79466762515328,"BNC1","down"
"LRP2",-2.79223540847431,"LRP2","down"
"SCML1",2.7919098931337,"SCML1","up"
"PAMR1",-2.7918404322155,"PAMR1","down"
"TSBP1-AS1",-2.78977228877509,"TSBP1-AS1","down"
"NR5A2",2.78797904517061,"NR5A2","up"
"ENSG00000307951",2.78782438232302,"ENSG00000307951","up"
"CTSLP2",-2.78708445373421,"CTSLP2","down"
