"","logFC","gene_id","direction"
"ENSG00000261722",-2.82279072051502,"ENSG00000261722","down"
"LINC02074",-2.82279072051502,"LINC02074","down"
"ENSG00000309758",-2.82279072051502,"ENSG00000309758","down"
"ENSG00000286447",-2.82279072051502,"ENSG00000286447","down"
"ENSG00000248936",-2.82279072051502,"ENSG00000248936","down"
"CXXC4-AS1",-2.82279072051502,"CXXC4-AS1","down"
"ATP10B",-2.82279072051502,"ATP10B","down"
"ENSG00000299028",-2.82279072051502,"ENSG00000299028","down"
"LINC02887",-2.82279072051502,"LINC02887","down"
"ENSG00000293363",-2.82279072051502,"ENSG00000293363","down"
"CCL26",2.81596459756684,"CCL26","up"
"FOXL2NB",2.80606330592046,"FOXL2NB","up"
"TFAP2C",2.80157288108448,"TFAP2C","up"
"ENSG00000293716",2.79191912360019,"ENSG00000293716","up"
"ENSG00000309461",2.79191912360019,"ENSG00000309461","up"
"SAP30P1",2.79191912360019,"SAP30P1","up"
"ENSG00000283175",2.79191912360019,"ENSG00000283175","up"
"LINC02466",2.79191912360019,"LINC02466","up"
"CCDC152",2.79191912360019,"CCDC152","up"
"WEE2",2.79191912360019,"WEE2","up"
"ENSG00000304855",2.79191912360019,"ENSG00000304855","up"
"GBX1",2.79191912360019,"GBX1","up"
"ENSG00000285712",2.79191912360019,"ENSG00000285712","up"
"MYL6B-AS1",2.79191912360019,"MYL6B-AS1","up"
"ENSG00000301913",2.79191912360019,"ENSG00000301913","up"
"DUOXA2",2.79191912360019,"DUOXA2","up"
"LINC00052",2.79191912360019,"LINC00052","up"
"ENSG00000296386",2.79191912360019,"ENSG00000296386","up"
"LPO",2.79191912360019,"LPO","up"
"GCGR",2.79191912360019,"GCGR","up"
"ENSG00000286037",2.79191912360019,"ENSG00000286037","up"
"ENSG00000299481",2.79191912360019,"ENSG00000299481","up"
"OVOL2",2.79191912360019,"OVOL2","up"
"ENSG00000276223",2.79191912360019,"ENSG00000276223","up"
"ENSG00000288871",2.79191912360019,"ENSG00000288871","up"
"ENSG00000233928",2.79191912360019,"ENSG00000233928","up"
"USP12PY",2.79191912360019,"USP12PY","up"
"ENSG00000295842",2.79191912360018,"ENSG00000295842","up"
"MATCAP2",2.79191912360018,"MATCAP2","up"
"TIALD",2.79191912360018,"TIALD","up"
"VLDLR",2.78482256576968,"VLDLR","up"
"ALPK2",2.77005968963645,"ALPK2","up"
"ENSG00000272973",2.77005968963645,"ENSG00000272973","up"
"SLC16A12",2.76746607987565,"SLC16A12","up"
"SCNN1G",2.76746607987565,"SCNN1G","up"
"RN7SL1",2.76668643012964,"RN7SL1","up"
"TMEM176A",-2.76266972807745,"TMEM176A","down"
"TAC1",2.75335927706914,"TAC1","up"
"RNF212",2.75305630126273,"RNF212","up"
"TNFRSF14",-2.74815191962227,"TNFRSF14","down"
"ENSG00000272405",2.74537653766315,"ENSG00000272405","up"
"NDRG1",2.74227872503542,"NDRG1","up"
"TRPM6",2.73808097197263,"TRPM6","up"
"ENSG00000303864",-2.73790182292851,"ENSG00000303864","down"
"LINC02714",-2.73790182292851,"LINC02714","down"
"LINC01619",-2.73790182292851,"LINC01619","down"
"DYNC1LI2-DT",-2.73790182292851,"DYNC1LI2-DT","down"
"TRARG1",-2.73790182292851,"TRARG1","down"
"ENSG00000261996",-2.73790182292851,"ENSG00000261996","down"
"PLPPR4",2.73482661832224,"PLPPR4","up"
"LINC00222",2.73179813116261,"LINC00222","up"
