""	logFC	AveExpr	t	P.Value	adj.P.Val	B
GAREM2	-4.78851299465771	4.82147166683338	-19.5404123045821	1.12175342723399e-06	5.99227873124096e-06	6.37366841745937
TIMM10	-5.40602928875834	5.02501640835905	-19.5389392622242	1.12225588284932e-06	5.99368126915505e-06	6.39124431957489
SNAP47	-5.40280566936915	5.53203792788755	-19.5334200558303	1.12414081799533e-06	6.00246509869533e-06	6.42463506316742
EHMT2	-6.85338499943877	7.39667303985168	-19.5246346147692	1.12714885258868e-06	6.01724079766571e-06	6.4848364213233
TUFT1	-5.11695604757694	4.17634133828945	-19.5237548962739	1.12745057377182e-06	6.01756571995623e-06	6.29334453498471
FAM177A1	-5.4307080130419	4.93151922313713	-19.5207207142559	1.12849194282525e-06	6.02183739845069e-06	6.37849066641274
SRA1	-5.40861571622073	5.35910350292499	-19.5096574617964	1.13229848226786e-06	6.04009370720106e-06	6.40774546826943
FKBP14	-4.67661907414732	4.57077529013555	-19.5093726032269	1.13239669086334e-06	6.04009370720106e-06	6.33980922043772
SNAPC3	-6.66148317303313	5.98163527713148	-19.5077839448842	1.1329445827628e-06	6.04172624455622e-06	6.43963113035869
SEC16A	-6.06886364209283	6.2123210623688	-19.5054415290299	1.13375299125927e-06	6.04474706223255e-06	6.44793624401018
RAI14	-6.64076627127165	6.85809091635906	-19.4945320939852	1.13752688229278e-06	6.0626706360417e-06	6.46434683573167
MCM2	-7.04319634238013	7.62656866577161	-19.4938571424317	1.13776084748909e-06	6.0626706360417e-06	6.48020822911152
PI4KB	-5.86261697648499	5.73229630707078	-19.4936209806253	1.13784272383924e-06	6.0626706360417e-06	6.4244431908169
ATP5ME	-8.73928933349374	6.35679559797967	-19.4859999761661	1.14048858013831e-06	6.07547264097562e-06	6.44751345566253
GABPB1	-5.59427512615373	5.47527615808552	-19.4851571257357	1.14078163999213e-06	6.07573832734245e-06	6.40827672605563
ZNF273	-5.41375979367827	5.00010399407764	-19.484428844382	1.14103493465408e-06	6.07579215843936e-06	6.3748073451708
LMAN2L	-5.39548701572819	5.00039703170815	-19.482701104917	1.14163610052096e-06	6.07769791932999e-06	6.37437521984948
EMC8	-5.05470259367707	5.06900863385735	-19.4771591390789	1.14356691297134e-06	6.0858449241374e-06	6.37843871452089
EIF4E	-6.83711692934103	6.46367441242326	-19.4769105355985	1.14365361506665e-06	6.0858449241374e-06	6.44839427351273
KITLG	-4.79757501958599	3.80251590152645	-19.4744584658651	1.1445092004511e-06	6.08910090802177e-06	6.22273425004465
PTGIS	-4.12398604650141	5.40326981646987	-19.471689106026	1.14547639174979e-06	6.09294915296502e-06	6.4003425943383
MYO19	-5.68877497827918	6.3166969427679	-19.4709083267076	1.14574924864526e-06	6.09310328398325e-06	6.44198300840524
EPS15	-7.35595619405085	6.44455979267329	-19.4687571897499	1.14650139218137e-06	6.09580565700347e-06	6.44551478541276
ZNF346	-4.84275972748214	4.85361257701449	-19.4650637825688	1.14779413009625e-06	6.10138054177119e-06	6.35698918777207
CTSA	-5.55878321326115	5.61537985031575	-19.4637485509424	1.14825488686341e-06	6.10253139617007e-06	6.41032231481949
