WT_P62	Y2_P37_28	YT2_P37_7_17
0	0	1
0	0	0
0	0	0
0	1	0
3070	4898	5070
34	100	51
3	3	1
4	16	16
369	784	773
0	3	3
0	0	0
0	2	0
1	0	5
1018	1399	2102
2	14	7
0	0	1
0	0	1
1919	2067	3152
1	0	3
0	3	0
0	5	4
0	0	0
0	0	0
0	0	0
312	381	444
0	0	1
661	1070	1943
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
467	834	1256
2	0	1
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
975	1513	1698
53	21	30
14	2	2
0	0	0
42	24	18
21	37	60
0	0	0
371	508	828
14	15	22
7	8	12
6	1	3
0	1	0
353	478	525
1528	2045	2168
0	0	0
0	0	1
6	1	1
10231	12153	29555
4	1	8
4830	7228	10188
0	0	0
0	0	0
53	60	49
1	0	2
3744	7556	7024
0	0	0
1599	2482	4534
11	16	7
11	61	13
3715	7940	9653
0	0	0
381	556	824
1913	2843	3713
1	4	3
1	0	0
1119	1137	1170
3162	6854	7881
0	0	0
0	0	0
1	1	1
598	1109	936
0	0	0
0	0	0
0	0	0
101	77	92
854	1347	1169
277	191	178
1398	1885	1807
2728	3648	5220
0	0	0
0	0	0
7835	13890	20707
0	0	0
758	1300	655
59	197	81
29	27	11
1038	2954	2415
26	24	9
1	1	1
797	1638	1515
8	38	22
0	0	0
155	145	133
1	0	0
2941	3865	3820
3	3	0
0	0	0
2	1	0
1	0	0
0	0	0
1	1	0
23	8	3
1	0	0
75	28	26
289	538	645
2	0	2
0	0	0
0	0	0
0	0	0
0	0	2
0	0	0
33	51	17
212	529	676
0	0	0
1089	2080	2143
4	5	5
5	20	12
670	1004	1011
0	0	0
1	0	2
750	819	1089
3862	5597	6940
0	1	0
47	12	16
1200	1524	1588
2991	4436	5305
71	97	65
1	0	2
0	0	0
0	0	0
0	0	0
0	0	0
296	292	268
0	0	0
679	1043	760
382	431	443
501	659	874
0	0	0
5	5	3
1333	2016	1362
1	0	0
0	0	0
0	0	0
0	0	0
4930	11620	11283
0	0	3
1051	1105	880
1723	2810	2882
51	127	72
0	0	0
1450	1283	1730
0	0	0
0	0	0
0	0	0
11	3	11
4	3	5
7	22	11
1	6	0
0	0	1
47	6	5
0	0	1
0	0	0
0	0	0
163	3	0
1	0	0
0	1	0
0	0	0
0	0	0
0	0	1
10	20	20
27	28	30
0	0	0
5	0	1
1	4	3
0	0	0
382	468	587
0	0	0
12	18	22
514	1143	965
0	0	0
0	0	0
77	15	7
0	0	0
0	0	0
7982	12743	12297
1	0	1
3882	7147	7152
7580	12571	16482
0	0	0
0	0	0
0	0	0
1	1	3
0	0	0
27	23	12
1	0	0
16	7	2
190	311	36
0	0	0
6935	9550	9593
0	0	3
0	0	0
1	0	0
361	195	111
1	0	0
6	1	0
0	0	0
56	34	18
1311	1858	1693
0	0	3
0	0	0
0	0	0
53	90	85
39	14	2
0	0	0
1	2	1
0	0	0
1	0	1
0	0	0
0	0	0
1253	1980	1757
1	1	3
1482	2034	1825
0	0	0
323	713	1164
4	9	14
9	2	7
8688	16308	15437
7165	8449	8385
0	0	0
0	0	0
0	0	0
1892	2570	3100
0	1	0
0	0	0
162	282	152
1719	3301	3778
0	0	0
483	947	579
1	0	0
1	0	0
334	766	992
0	0	0
0	0	0
0	0	0
1	2	2
474	571	347
317	389	268
5	17	17
267	381	318
25	21	20
308	313	344
1	2	0
0	0	1
176	388	372
0	0	0
0	0	0
0	0	0
1	0	0
3880	6068	3062
2	3	1
44	56	84
1751	2708	2748
0	0	0
0	0	1
209	396	445
0	0	0
0	1	2
0	0	0
85	130	130
0	0	0
0	0	0
0	0	0
5	7	3
0	0	0
0	0	0
0	0	0
5048	6667	8779
36	42	30
1	0	3
895	1185	1709
0	0	0
0	6	0
0	0	0
0	0	0
2	0	3
0	0	0
107	113	110
5	2	0
0	0	0
1	0	1
0	0	0
3	5	5
0	0	0
58	62	76
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2063	2630	2634
0	0	0
0	0	0
526	1262	1168
0	0	0
62	44	30
857	1148	962
55	93	131
0	0	0
50	105	157
0	0	0
19	19	22
0	1	1
957	1506	1587
0	4	6
30469	48989	50022
494	338	315
2170	4136	3584
190	278	310
0	0	0
0	0	0
19	37	30
712	1022	877
259	350	524
95	90	153
702	1122	1181
0	0	0
0	0	0
4	14	3
0	2	2
1	1	2
9794	39197	13152
3	1	0
113	170	53
5	8	5
1	0	0
3	1	0
0	0	0
0	0	0
98	159	118
23	40	51
2006	3416	3173
0	0	0
10	19	18
0	0	0
2	0	0
456	150	7
225	211	8
217	123	239
44	18	24
4	1	3
44	43	9
7536	9692	11045
731	954	1254
0	0	0
24	21	20
522	958	865
558	1168	1368
0	0	0
6	7	1
0	0	0
229	309	317
0	0	1
15290	16879	16967
2171	5268	4006
0	0	1
58	61	94
48	67	54
0	0	0
1	2	0
0	0	0
0	0	0
0	0	0
160	204	108
6	33	16
917	1379	2037
2	5	5
1207	1770	2359
1467	2797	2629
2822	3432	3740
495	449	321
1085	1473	951
76	102	52
0	0	0
0	0	0
0	0	0
0	1	0
0	0	0
0	0	0
1	1	1
59	74	96
7	4	0
0	0	0
0	0	0
0	0	0
16	5	3
0	0	0
1383	1745	2006
2122	3616	3916
0	2	2
0	0	0
2830	4942	5171
0	0	0
0	0	0
255	316	288
16	21	10
4	3	0
0	0	0
0	2	2
5297	7905	7588
1	1	0
5	15	5
46952	58818	46917
0	0	0
8	18	14
0	0	0
0	0	0
16	24	23
80	61	55
211	477	344
0	0	0
3	1	0
24	19	37
19	28	35
0	0	0
3	2	0
1211	1868	1662
0	0	0
0	0	0
3	4	5
0	0	0
0	0	0
1608	2492	1933
1813	3087	2714
212	636	900
0	0	0
1	0	0
48	27	24
333	69	112
86	161	111
0	0	0
558	467	877
424	583	330
0	0	0
104	113	80
299	401	599
15520	38074	30834
1	1	0
0	0	0
4900	6582	4488
39	87	44
18831	31499	40080
35	69	38
4194	6994	5741
8	15	5
0	1	1
11	23	11
4	2	4
1380	2248	2973
308	487	428
14	27	28
0	1	2
0	0	0
1794	3026	3625
36	53	37
748	1406	2134
0	0	0
0	0	0
0	0	0
4	5	7
0	0	0
0	12	2
0	0	0
1861	2791	2893
107	156	146
0	0	0
1529	3182	2565
2346	3506	4572
2513	4729	3927
787	1234	1122
0	0	0
364	704	376
0	0	0
45	60	27
1	0	0
0	2	0
0	0	0
235	49	11
2	2	5
7	4	7
1	0	0
513	855	745
182	126	217
0	1	0
3216	3820	4578
4	0	0
2	7	4
0	0	0
2146	3368	3164
0	0	0
0	0	0
4	5	0
0	0	0
0	0	0
4	6	5
0	0	0
0	0	0
0	0	0
0	2	0
2	1	0
90	168	210
0	2	1
0	0	0
60	33	29
0	0	2
0	0	0
2	4	5
4	2	3
1	4	0
21	826	108
0	0	0
0	2	1
0	2	0
1878	3452	3673
1328	2551	2726
4	3	1
10	12	11
15	71	3
1	2	0
2	12	0
0	0	0
0	0	0
0	1	0
0	0	0
4	5	1
0	0	1
0	0	0
203	547	694
0	0	0
0	0	0
0	2	0
0	1	0
0	0	1
0	0	0
0	0	0
0	0	0
3	0	1
1	0	0
0	0	0
2	1	0
2	5	4
0	3	1
0	2	2
0	0	0
613	870	934
0	1	2
0	0	0
484	791	754
0	0	0
0	0	1
0	0	0
16	79	46
0	1	0
285	398	328
0	0	0
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
11	138	126
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	4
1	1	1
0	0	0
2285	2819	2587
0	0	0
0	0	0
0	0	0
1	2	7
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
4	5	3
2306	2830	2386
1	2	0
0	0	0
455	415	621
0	0	0
3	1	6
3220	5958	2825
0	0	0
0	0	0
0	0	0
2	2	3
0	0	0
0	0	0
0	0	0
4228	5427	5487
0	0	0
0	0	0
0	0	0
8113	15825	16806
0	0	3
0	4	0
0	0	0
0	0	0
4792	5173	6059
0	0	0
0	0	0
0	0	0
504	752	550
0	0	0
115	166	139
0	0	1
0	0	0
22	20	18
2823	4324	3482
3	0	0
5	16	14
2354	3084	2743
0	0	0
27	43	48
0	0	0
1	9	1
0	0	0
0	0	0
8	18	5
791	1070	1469
0	0	0
2	1	0
0	0	0
2580	4279	4838
2477	3524	4544
2693	3907	4174
6	3	1
0	0	0
369	667	860
3	2	2
16	26	34
2560	2596	3502
0	0	0
0	0	0
1479	2087	2397
0	0	0
4363	5373	4769
0	0	0
156	369	72
2	1	0
606	108	55
0	2	1
0	0	0
1374	2784	2445
0	0	0
0	0	0
0	0	0
0	0	0
417	600	391
1	0	0
24	20	0
0	0	0
0	0	0
4	0	0
0	0	0
0	0	1
3	0	0
1490	2326	2836
9	17	23
1455	1803	1423
2	1	1
1323	2296	2226
12	11	11
2174	3480	5130
0	3	0
1	0	0
0	0	0
31	52	43
0	0	0
0	0	3
1	1	0
0	0	0
0	0	0
5	1	0
3	0	3
0	0	0
0	0	0
0	3	0
0	0	0
4	10	1
11	5	3
0	0	0
0	0	0
4617	7866	8700
0	1	1
0	0	0
1066	1517	1360
6	7	3
0	0	0
506	771	838
2287	2517	2832
16	24	30
0	0	0
0	0	0
2079	3668	3908
0	5	2
634	1089	925
0	0	0
1	0	0
2	0	1
9	0	3
0	1	1
0	0	0
604	750	835
3590	5606	5187
3971	4820	5672
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
292	287	249
8	3	7
0	0	0
1	2	3
0	0	0
46	73	75
618	874	635
40	20	1
0	0	0
3	1	3
14182	35119	50513
1	7	8
29	19	14
3	2	2
0	0	0
0	0	0
3	9	6
9	34	36
940	3359	2893
